#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'I','4AD601','Discus','SE-UPA','','Y','Y','1'
'F','4AD608','HK36 Super Dimona','SEUPH','','Y','Y','1'
'I','4AD644','ASW-28 18','SE-URD','RD','Y','Y','1'
'I','4AD66D','Motorglider','SE-USM','','Y','Y','1'
'F','4AD676','LS-3','SE-USV','VT','Y','Y','1'
'F','4AD681','Discus 2t','SE-UTA','TA','Y','Y','1'
'I','4AD685','Ventus 2','SE-UTE','TE','Y','Y','1'
'I','4AD68F','ASW-27','SE-UTO','TO','Y','Y','1'
'F','4AD6AC','LAK-17 AT','SE-UUL','2W','Y','Y','1'
'I','4AD6AE','Nimbus 3','SE-UUN','UN','Y','Y','1'
'I','4AD6B9','Duo Discus','SE-UUY','CG','Y','Y','1'
'I','4AD6C8','ASH-26 E','SE-UVH','VH','Y','Y','1'
'I','4AD6CC','Duo Discus xlt','SE-UVL','AKF','Y','Y','1'
'I','4AD706','Duo Discus xlt','SE-UXF','XF','Y','Y','1'
'F','4AD710','Arcus M','SE-UXP','XP','Y','Y','1'
'I','4AD722','Arcus M','SE-UYB','','Y','Y','1'
'I','4AD72B','Duo Discus xlt','SE-UYK','XLT','Y','Y','1'
'I','4AD730','HPH 304C','SE-UYP','LU','Y','Y','1'
'I','4AD973','Eurostar EV97','SE-VKS','','Y','Y','3'
'O','4ADA69','Drone/UAV','PK-X007','P07','Y','Y','5'
'I','4ADAB4','Ikarus C42 B','SE-VUT','','Y','Y','3'
'I','4ADAB9','WT9 Dynamic','SE-VUY','VUY','Y','Y','3'
'F','4ADABA','Towplane','SE-VUZ','WT9','Y','Y','2'
'F','4AE088','Jodel D112','SE-XDH','','Y','Y','2'
'I','4B046C','Cessna 172','HB-CKA','CKA','Y','Y','2'
'F','4B057F','Cessna 152','HBCCD','CCD','Y','Y','2'
'I','4B0589','Cessna 152','HB-CCN','CCN','Y','Y','2'
'I','4B059A','Cessna 177','HB-CDE','CDE','Y','Y','2'
'I','4B05BE','Cessna 172','HB-CEO','CEO','Y','Y','2'
'F','4B05CA','Cessna 152','HB-CFA','','Y','Y','2'
'I','4B05D8','Cessna 172','HB-CFO','CFO','Y','Y','2'
'I','4B05E2','Cessna 172','HB-CFY','CFY','Y','Y','2'
'I','4B05E9','Cessna 172','HB-CGF','CGF','Y','Y','2'
'I','4B0615','Cessna 172','HB-CHX','CHX','Y','Y','2'
'I','4B0618','Cessna 172','HB-CIA','','Y','Y','2'
'O','4B0620','Tecnam  P2002 JF','PETRA42','P42','Y','Y','2'
'I','4B0626','Cessna 172','HB-CIO','CIO','Y','Y','2'
'I','4B062F','Cessna 152','HB-CIX','CIX','Y','Y','2'
'I','4B0630','Cessna 152','HB-CIY','CIY','Y','Y','2'
'I','4B0648','Cessna 152','HB-CJW','CJW','Y','Y','2'
'I','4B064C','Cessna 172','HB-CKA','CKA','Y','Y','2'
'I','4B0652','Cessna 172','HB-CKG','CKG','Y','Y','2'
'I','4B0660','Cessna 172','HB-CKU','CKU','Y','Y','2'
'I','4B066D','Cessna 172','HB-CLH','CLH','Y','Y','2'
'F','4B0678','Cessna 172','HB-CLS','','Y','Y','2'
'I','4B06A4','Cessna 152','HB-CNK','CNK','Y','Y','2'
'I','4B06AC','Cessna 152','HB-CNS','CNS','Y','Y','2'
'I','4B06B2','Cessna 172','HB-CNY','CNY','Y','Y','2'
'I','4B06ED','Cessna 172','HB-CQF','CQF','Y','Y','2'
'I','4B06F3','Cessna 172','HB-CQL','CQL','Y','Y','2'
'F','4B06F4','Cessna 172','HB-CQM','CQM','Y','Y','2'
'I','4B06F9','Cessna 172','HB-CQR','','Y','Y','2'
'I','4B06FE','Cessna 182','HB-CQW','CQW','Y','Y','2'
'I','4B07AB','Cessna 150','HB-CXN','CXN','Y','Y','2'
'I','4B07B3','Cessna 152','HB-CXV','CXV','Y','Y','2'
'I','4B07BD','Cessna 152','HB-CYF','CYF','Y','Y','2'
'I','4B07BF','Cessna 172','HB-CYH','CYH','Y','Y','2'
'F','4B07C7','Cessna 152','HB-CYP','','Y','Y','2'
'I','4B07CF','Cessna 152','HB-CYX','CYX','Y','Y','2'
'I','4B07E0','Cessna 172','HB-CZO','CZO','Y','Y','2'
'I','4B07E6','Cessna 182','HB-CZU','CZU','Y','Y','2'
'I','4B0834','Towplane','HB-DCU','DCU','Y','Y','2'
'F','4B088A','','','','Y','N','2'
'I','4B0897','Towplane','HB-DGP','GP','Y','Y','2'
'I','4B089E','Mooney','HB-DGW','DGW','Y','Y','2'
'I','4B08B1','Mooney','HB-DHP','DHP','Y','Y','2'
'I','4B08C0','Mooney','HB-DIE','DIE','Y','Y','2'
'I','4B08C3','Mooney','HB-DIH','DIH','Y','Y','2'
'I','4B0B05','Motorplane','HB-EEN','EEN','Y','Y','2'
'I','4B0B58','Motorplane','HBEHS','','Y','Y','2'
'I','4B0BB1','JOB 15','HB-ELD','ELD','Y','Y','2'
'I','4B0BB6','Piper J-3 Cub','HB-ELI','ELI','Y','Y','2'
'I','4B0BD5','DR-300','HB-EMN','','Y','Y','2'
'F','4B0BD7','Towplane','HBEMP','MP','Y','Y','2'
'I','4B0C28','Motorplane','HB-EPS','EPS','Y','Y','2'
'F','4B0C36','DR-400','HB-EQG','FS','Y','Y','2'
'I','4B0C3D','DR-400','HB-EQN','EQN','Y','Y','2'
'I','4B0CA7','DR-400','HB-EUP','','Y','Y','2'
'F','4B0CAD','DR-400','HB-EUV','','Y','Y','2'
'I','4B0CF5','DR-400','HB-EXP','','Y','Y','2'
'I','4B0CF6','DR-400','HB-EXQ','','Y','Y','2'
'I','4B0CF9','DR-400','HB-EXT','EXT','Y','Y','2'
'I','4B0CFA','DR-400','HB-EXU','','Y','Y','2'
'I','4B0CFC','DR-400','HB-EXW','EXW','Y','Y','2'
'I','4B0D12','DR-400','HB-EYS','EYS','Y','Y','2'
'F','4B0D30','TB-10 Tobago','HB-EZW','EZW','Y','Y','2'
'I','4B0D31','DR-400','HB-EZX','EZX','Y','Y','2'
